Results ID: 2
Created On: 2019-08-16 22:50:46.252000
For Project: Sepsis + EC Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        36 |       40 |       341 |         69 | 65.53493 |  0.47826 |  0.78558 |     233 |             44 |     108 |           50 |      107 |     214 |              107 |           18 |                   12 |           1 |                   1 |             1 | 
        41 |       45 |       340 |         68 | 65.70090 |  0.48529 |  0.72739 |     208 |             56 |     132 |           60 |      100 |     202 |              100 |           32 |                   20 |           5 |                   4 |             1 | 
        46 |       50 |       334 |         67 | 65.54764 |  0.49254 |  0.72868 |     230 |             51 |     104 |           42 |      110 |     191 |              110 |           27 |                   18 |           4 |                   4 |             2 | 
        51 |       55 |       321 |         65 | 65.56543 |  0.49231 |  0.76918 |     213 |             51 |     108 |           53 |      105 |     197 |              105 |           14 |                   11 |           3 |                   3 |             2 | 
        56 |       60 |       315 |         63 | 65.88149 |  0.49206 |  0.72366 |     210 |             52 |     105 |           42 |      101 |     188 |              101 |           23 |                   16 |           3 |                   2 |             0 | 
         1 |       10 |       842 |        100 | 66.78275 |  0.45000 |  2.50810 |     441 |            130 |     401 |           88 |      171 |     497 |              171 |          109 |                   59 |          42 |                  15 |            23 | 
        11 |       20 |       757 |         77 | 66.37271 |  0.45455 |  1.09063 |     519 |            114 |     238 |          108 |      231 |     462 |              231 |           53 |                   32 |           9 |                   7 |             2 | 
        21 |       30 |       731 |         75 | 65.96756 |  0.46667 |  0.82877 |     510 |            116 |     221 |          110 |      211 |     448 |              211 |           61 |                   45 |           8 |                   6 |             3 | 
        31 |       40 |       695 |         72 | 65.60031 |  0.48611 |  0.83559 |     471 |             93 |     224 |           99 |      209 |     424 |              209 |           50 |                   31 |           8 |                   8 |             4 | 
        41 |       50 |       674 |         68 | 65.70090 |  0.48529 |  0.72803 |     438 |            107 |     236 |          102 |      210 |     393 |              210 |           59 |                   38 |           9 |                   8 |             3 | 
        51 |       60 |       636 |         65 | 65.56543 |  0.49231 |  0.74663 |     423 |            103 |     213 |           95 |      206 |     385 |              206 |           37 |                   27 |           6 |                   5 |             2 | 
         1 |       20 |      1599 |        100 | 66.78275 |  0.45000 |  1.83704 |     960 |            244 |     639 |          196 |      402 |     959 |              402 |          162 |                   91 |          51 |                  22 |            25 | 
        21 |       40 |      1426 |         75 | 65.96756 |  0.46667 |  0.83209 |     981 |            209 |     445 |          209 |      420 |     872 |              420 |          111 |                   76 |          16 |                  14 |             7 | 
        41 |       60 |      1310 |         68 | 65.70090 |  0.48529 |  0.73706 |     861 |            210 |     449 |          197 |      416 |     778 |              416 |           96 |                   65 |          15 |                  13 |             5 | 
         1 |       60 |      4335 |        100 | 66.78275 |  0.45000 |  1.17406 |    2802 |            663 |    1533 |          602 |     1238 |    2609 |             1238 |          369 |                  232 |          82 |                  49 |            37 | 
Report Column Filter was:[('<Header>', 'Auto Detect', ''), ('Age', 'Auto Detect', ''), ('Male', 'Auto Detect', ''), ('Lactate', 'Auto Detect', ''), ('NoSIRS', 'Auto Detect', ''), ('NoSIRS_Entered', 'Auto Detect', ''), ('SIRS', 'Auto Detect', ''), ('SIRS_Entered', 'Auto Detect', ''), ('NoSpesis', 'Auto Detect', ''), ('Sepsis', 'Auto Detect', ''), ('NoSpesis_Entered', 'Auto Detect', ''), ('SevereSepsis', 'Auto Detect', ''), ('SevereSepsis_Entered', 'Auto Detect', ''), ('SepticShock', 'Auto Detect', ''), ('SepticShock_Entered', 'Auto Detect', ''), ('Death_Entered', 'Auto Detect', '')]
______________________________________________________________________
