Results ID: 3
Created On: 2019-08-16 22:52:11.341000
For Project: Sepsis + EC BAD Treatment Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        55 |       55 |        37 |         37 | 69.49012 |  0.37838 |  6.60837 |      20 |              6 |      17 |            4 |        4 |      20 |                4 |            8 |                    2 |           3 |                   2 |             2 | 
        56 |       56 |        35 |         35 | 69.75358 |  0.40000 |  6.61669 |      17 |              2 |      18 |            4 |        3 |      22 |                3 |            5 |                    0 |           3 |                   2 |             2 | 
        57 |       57 |        33 |         33 | 70.11799 |  0.42424 |  6.41731 |      12 |              2 |      21 |            5 |        0 |      24 |                0 |            6 |                    3 |           3 |                   1 |             0 | 
        58 |       58 |        33 |         33 | 70.11799 |  0.42424 |  6.34801 |      13 |              3 |      20 |            2 |        6 |      20 |                6 |            5 |                    1 |           1 |                   0 |             1 | 
        59 |       59 |        32 |         32 | 70.10923 |  0.40625 |  6.55815 |      13 |              4 |      19 |            3 |        0 |      26 |                0 |            3 |                    0 |           3 |                   2 |             0 | 
        60 |       60 |        32 |         32 | 70.10923 |  0.40625 |  6.53395 |      16 |              5 |      16 |            2 |        3 |      20 |                3 |            7 |                    5 |           0 |                   0 |             2 | 
         1 |        5 |       436 |        100 | 66.78275 |  0.45000 |  4.66450 |     142 |             52 |     294 |           33 |       55 |     261 |               55 |           55 |                   24 |          41 |                   9 |            24 | 
         6 |       10 |       376 |         76 | 66.45877 |  0.43421 |  5.06568 |     152 |             33 |     224 |           36 |       50 |     255 |               50 |           57 |                   18 |          12 |                   5 |             2 | 
        11 |       15 |       354 |         74 | 66.74233 |  0.43243 |  5.48250 |     157 |             39 |     197 |           29 |       56 |     219 |               56 |           61 |                   18 |          11 |                   9 |             7 | 
        16 |       20 |       326 |         67 | 66.23105 |  0.40299 |  5.64189 |     158 |             36 |     168 |           39 |       46 |     221 |               46 |           46 |                   15 |           9 |                   3 |             4 | 
