Results ID: 1
Created On: 2019-08-16 22:43:56.794000
For Project: Sepsis Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        42 |       42 |        71 |         71 | 66.39863 |  0.46479 |  0.57304 |      49 |              8 |      22 |           11 |       14 |      51 |               14 |            6 |                    1 |           0 |                   0 |             0 | 
        43 |       43 |        71 |         71 | 66.39863 |  0.46479 |  0.64828 |      46 |             11 |      25 |           14 |       21 |      45 |               21 |            5 |                    1 |           0 |                   0 |             0 | 
        44 |       44 |        71 |         71 | 66.39863 |  0.46479 |  0.92991 |      48 |             13 |      23 |           11 |       24 |      46 |               24 |            0 |                    0 |           1 |                   1 |             0 | 
        45 |       45 |        71 |         71 | 66.39863 |  0.46479 |  0.92344 |      51 |             12 |      20 |            9 |       27 |      42 |               27 |            2 |                    2 |           0 |                   0 |             0 | 
        46 |       46 |        71 |         71 | 66.39863 |  0.46479 |  0.88410 |      47 |              9 |      24 |           13 |       18 |      45 |               18 |            7 |                    7 |           1 |                   1 |             0 | 
        47 |       47 |        71 |         71 | 66.39863 |  0.46479 |  0.75244 |      47 |             10 |      24 |           10 |       24 |      41 |               24 |            5 |                    3 |           1 |                   1 |             0 | 
        48 |       48 |        71 |         71 | 66.39863 |  0.46479 |  0.73072 |      47 |             12 |      24 |           12 |       22 |      43 |               22 |            5 |                    2 |           0 |                   0 |             1 | 
        49 |       49 |        70 |         70 | 66.28833 |  0.47143 |  0.85669 |      45 |             11 |      25 |           12 |       24 |      36 |               24 |            9 |                    5 |           1 |                   1 |             0 | 
        50 |       50 |        70 |         70 | 66.28833 |  0.47143 |  0.71740 |      45 |             13 |      25 |           13 |       19 |      43 |               19 |            7 |                    5 |           1 |                   1 |             0 | 
        51 |       51 |        70 |         70 | 66.28833 |  0.47143 |  0.71645 |      46 |             10 |      24 |            9 |       32 |      30 |               32 |            6 |                    3 |           2 |                   2 |             0 | 
        52 |       52 |        70 |         70 | 66.28833 |  0.47143 |  0.83984 |      47 |             13 |      23 |           12 |       19 |      44 |               19 |            6 |                    3 |           1 |                   1 |             0 | 
        53 |       53 |        70 |         70 | 66.28833 |  0.47143 |  0.59807 |      46 |             11 |      24 |           12 |       19 |      47 |               19 |            2 |                    2 |           1 |                   1 |             1 | 
        54 |       54 |        69 |         69 | 66.20423 |  0.47826 |  0.55727 |      45 |             11 |      24 |           11 |       31 |      33 |               31 |            5 |                    5 |           0 |                   0 |             0 | 
        55 |       55 |        69 |         69 | 66.20423 |  0.47826 |  0.64217 |      49 |             14 |      20 |           10 |       20 |      42 |               20 |            6 |                    3 |           1 |                   1 |             0 | 
        56 |       56 |        69 |         69 | 66.20423 |  0.47826 |  0.45640 |      51 |             11 |      18 |            9 |       21 |      42 |               21 |            6 |                    3 |           0 |                   0 |             0 | 
        57 |       57 |        69 |         69 | 66.20423 |  0.47826 |  0.55273 |      47 |              7 |      22 |           11 |       19 |      40 |               19 |            9 |                    6 |           1 |                   1 |             0 | 
        58 |       58 |        69 |         69 | 66.20423 |  0.47826 |  0.71023 |      48 |              9 |      21 |            8 |       22 |      40 |               22 |            6 |                    2 |           1 |                   0 |             0 | 
        59 |       59 |        69 |         69 | 66.20423 |  0.47826 |  0.67254 |      44 |              9 |      25 |           13 |       24 |      36 |               24 |            8 |                    4 |           1 |                   1 |             0 | 
        60 |       60 |        69 |         69 | 66.20423 |  0.47826 |  0.61877 |      49 |             14 |      20 |            9 |       14 |      45 |               14 |            9 |                    6 |           1 |                   1 |             0 | 
         1 |        5 |       429 |        100 | 66.24510 |  0.44000 |  3.49110 |     193 |             76 |     236 |           27 |       83 |     252 |               83 |           52 |                   19 |          21 |                   3 |            21 | 
         6 |       10 |       395 |         79 | 66.69345 |  0.48101 |  1.58447 |     238 |             61 |     157 |           61 |      105 |     238 |              105 |           46 |                   20 |           5 |                   4 |             1 | 
        11 |       15 |       390 |         78 | 66.40297 |  0.47436 |  1.04655 |     239 |             63 |     151 |           62 |      117 |     237 |              117 |           32 |                   17 |           2 |                   2 |             2 | 
        16 |       20 |       380 |         76 | 66.22748 |  0.47368 |  0.83832 |     255 |             59 |     125 |           55 |      116 |     226 |              116 |           34 |                   14 |           3 |                   3 |             1 | 
        21 |       25 |       375 |         75 | 66.46455 |  0.46667 |  0.74519 |     270 |             56 |     105 |           54 |      109 |     232 |              109 |           28 |                   19 |           6 |                   4 |             0 | 
        26 |       30 |       370 |         75 | 66.46455 |  0.46667 |  0.85480 |     243 |             60 |     127 |           60 |      117 |     230 |              117 |           17 |                   12 |           4 |                   3 |             2 | 
        31 |       35 |       363 |         73 | 66.52163 |  0.46575 |  0.87185 |     239 |             45 |     124 |           52 |      102 |     225 |              102 |           30 |                   22 |           5 |                   5 |             1 | 
        36 |       40 |       356 |         72 | 66.74539 |  0.47222 |  0.85611 |     258 |             51 |      98 |           43 |      103 |     224 |              103 |           28 |                   17 |           0 |                   0 |             1 | 
        41 |       45 |       355 |         71 | 66.39863 |  0.46479 |  0.74025 |     246 |             52 |     109 |           53 |      108 |     222 |              108 |           24 |                   11 |           1 |                   1 |             0 | 
